Date,Description
2026-06-04,"Added total, linear, and circular polarization fraction columns to the catalog table."
2026-06-04,Added the discovery of <a href="https://doi.org/10.1038/s41550-026-02882-x" target="_blank">ASKAP J1745-5051</a> as an accreting white dwarf binary LPT.
2026-04-24,Added the reference of <a href="https://arxiv.org/abs/2604.18688" target="_blank">optical follow-up of ILT J1101+5521</a>.
2026-04-08,Added the reference of <a href="https://arxiv.org/abs/2602.13742" target="_blank">FAST follow-up observations of GPM 1839-10</a>.
2026-04-06,Updated the sky distribution section and made the maps interactive.
2026-03-11,Added the discovery of a <a href="https://arxiv.org/abs/2603.07857" target="_blank">36-min LPT found by ASKAP</a>
2025-12-24,Initial release of the LPT-Cat.
2025-08-21,Thinking of building the LPT-Cat and website.
